no,Replicate,id,j,a,b,c,z,x1,x2,x3,E,y,
1,1,1,444,0.29919,0.83718,0.68144,-0.61726,21.96770,43.48730,37.25780,-297.88000,7.54000,
2,1,1,611,0.56787,0.71160,0.32699,-1.59160,32.71470,38.46420,23.07950,-1703.41000,-1309.72000,
3,1,1,3145,0.73834,0.23294,0.63800,0.77661,39.53370,19.31750,35.52010,1213.77000,1668.95000,
4,1,1,4032,0.12840,0.64340,0.29496,0.40027,15.13620,35.73600,21.79850,91.70000,305.60000,
5,1,1,4175,0.96315,0.11986,0.84613,-0.17120,48.52600,14.79440,43.84530,-403.14000,145.76000,
6,1,1,5338,0.76944,0.75934,0.78700,-0.08281,40.77760,40.37370,41.48020,-137.71000,356.92000,
7,1,1,6621,0.05064,0.15200,0.82726,-0.94871,12.02580,16.08000,43.09040,-137.20000,47.23000,
8,1,1,9589,0.40406,0.28682,0.20721,-0.16285,26.16260,21.47270,18.28830,-111.47000,194.92000,
9,1,1,9642,0.60466,0.91753,0.00184,0.43465,34.18650,46.70130,10.07340,507.98000,911.62000,
10,1,1,10528,0.15645,0.51143,0.12094,0.80381,16.25790,30.45700,14.83770,212.46000,425.33000,
11,1,1,11117,0.30813,0.92043,0.31680,-0.31305,22.32530,46.81700,22.67200,-156.03000,141.71000,
12,1,1,12400,0.73603,0.71343,0.95330,-1.49781,39.44100,38.53710,48.13200,-2329.98000,-1843.90000,
13,1,1,12522,0.79886,0.52487,0.04548,-0.61778,41.95440,30.99480,11.81910,-1087.40000,-620.04000,
14,1,1,17390,0.91533,0.82689,0.94818,-1.55998,46.61340,43.07570,47.92720,-3389.53000,-2827.39000,
15,1,1,19276,0.46434,0.44069,0.88550,-0.26573,28.57380,27.62760,45.42010,-216.96000,146.83000,
16,1,1,20825,0.71482,0.63640,0.21642,-1.14123,38.59290,35.45610,18.65690,-1699.77000,-1254.72000,
