no,Replicate,Xt1,Xt2,Xt3,e,Y
1,1,0.755341012,0.301217625,-0.93797126,-0.009568571,1.367697734
2,1,0.14375172,-0.861771571,-1.542538854,-0.42768006,-3.215976603
3,1,-0.569875831,-0.812113639,-1.124768502,0.861564676,-0.63372272
4,1,0.006066167,-0.297298731,-0.148307614,0.000825649,3.023396609
5,1,-0.473472951,-0.026202772,0.466756675,8.60E-07,5.451631551
6,1,2.085001221,-0.774632016,1.63013504,0.308942678,9.849481288
7,1,0.71037348,0.749740944,-0.38105917,-0.077507229,3.959440565
8,1,0.032692861,0.343683451,-0.601481848,0.001587296,2.364854965
9,1,0.730682771,-0.14629937,-1.262402343,-1.66E-06,-0.471826041
10,1,0.974665129,-1.843844276,1.205782677,17.070926,23.03584327
11,1,-1.299401596,-0.045400586,-0.287655434,4.31E-06,2.376583226
12,1,1.878530222,-1.072225222,0.546874344,2.742970849,7.854792744
13,1,-0.226842585,-0.738227303,0.138695838,0.07631176,3.377538787
14,1,-0.497733913,1.510821493,-0.332445808,-3.902431473,0.967902291
15,1,0.699242653,0.036414915,1.041785763,-1.39E-07,8.084748042
16,1,1.15024603,-0.759214788,-0.51261103,-0.140425567,1.335450954
17,1,-0.486906763,-0.661768396,-0.961328345,0.142344306,-0.505853036
18,1,-0.229864392,1.909420936,-1.175950557,-12.49805303,-9.959289388
19,1,-2.180795549,-0.448404989,-1.506297346,0.011713437,-2.95588271
20,1,0.740682685,1.392236841,-0.419963219,4.594852055,9.4676128
21,1,1.672860677,-1.496407807,-0.113876162,0.373836003,2.388414381
22,1,-0.073370603,0.232889414,-0.653145696,0.001916769,1.970578144
23,1,-1.239813463,-1.129017632,-1.221896829,-0.269243456,-2.857523875
24,1,0.149912392,-0.845910611,-0.923450503,0.295967175,-0.237355596
25,1,1.833134281,-1.051204467,-0.732905726,-0.474545169,0.04344123
26,1,-0.056008798,-0.735584568,0.365523223,-0.369594338,3.820508894
27,1,0.496880098,0.992603529,-0.056114452,-0.573264448,4.912380857
28,1,0.272880457,-0.654447221,1.540051285,0.446023441,9.117689417
29,1,-0.605711249,-0.115401244,0.65411429,4.90E-05,5.939474108
30,1,-0.782078833,1.566680833,1.197359999,5.699350127,16.04703584
1,2,-1.686320479,-0.276988239,-0.731953651,0.003471096,0.278427402
2,2,1.082380263,-1.809102757,0.993897524,-26.93523738,-21.63790832
3,2,1.128901421,1.209892097,-0.19123025,-4.057661319,1.520308495
4,2,-0.047179576,0.212525733,2.18203976,-0.003803139,12.15145676
5,2,0.084661558,0.461218814,2.062964953,0.028095838,12.18046251
6,2,1.048538567,0.799448575,-0.161304037,-0.133825361,4.904068395
7,2,-1.641156173,-1.163324717,-0.457471724,0.354816274,0.306468523
8,2,-0.033759078,-0.074906538,0.150772905,3.35E-05,4.416952565
9,2,-1.187756375,-0.486148069,0.35239844,0.034898611,4.099208341
10,2,-0.018116376,1.331448144,-1.024555623,-4.513681084,-2.212155661
11,2,-0.970636782,2.841278006,1.802061912,110.963575,125.3246602
12,2,0.772939758,-0.555229899,1.970777374,0.215281285,10.78641089
13,2,1.174302751,0.304617997,1.163703478,0.011832406,9.127813022
14,2,0.333679773,-0.749820039,-0.329044802,0.267354352,2.091534916
15,2,0.968124231,-0.538152769,-0.307030482,0.120693111,2.595403915
16,2,0.703632388,0.219325466,0.252323274,-0.004006001,5.514798941
